evidence_id,roles_json,project_ids_json,kind,title,source_url,publisher,source_family,license,attribution,published_at,retrieved_at,content_hash
0319c9a2-0161-5f88-ad38-3fd3aa0e3ea3,"[""physical_status""]","[""38033ec9-dbd8-56bb-8a35-0fa91dd284e2""]",company_disclosure,Ten Brinke Data Center Spata current-project page,https://www.tenbrinke.com/en/projects/current-projects/current-projects-details/data-center-spata-26-1052-gr.html,Ten Brinke Group,ten_brinke_current_project_pages,all-rights-reserved,Ten Brinke Group,,2026-07-21T17:05:00Z,9ef57bbcb1517843d3e2e0f399d645147433f9896b1ece41f062cff8c5273c1a
1337f6ef-1e09-5b6e-a1e0-55fbdcf95bf3,"[""operating_model""]","[""44130f9f-95af-5f19-9fcf-47aabd3a5c8b""]",company_disclosure,About Akashi,https://akashi.cloud/about/,Akashi Data Center,akashi_data_center_project_pages,all-rights-reserved,Akashi Data Center,,2026-07-21T12:22:07Z,01e105af2a09a3e96987bccde8d7c7cc68cf6add95ab48c6d9286e4dca5ce774
1d6cc958-8ca3-5a8c-ab4b-a07cf5a45b32,"[""physical_status""]","[""2e2b9d40-5024-5e6d-bbb2-56a8b16b9c16""]",company_disclosure,CDC Eastern Creek EC5 current status,https://cdc.com.au/locations/sydney/,CDC Data Centres,cdc_current_location_pages,all-rights-reserved,CDC Data Centres,,2026-07-21T17:12:46Z,66d6de9440d4496482af80159cbe361afdb8e36bdebd5edf81ac1c65f1337620
295b555a-ca97-5752-b525-24ab75f62a71,"[""geometry""]","[""b5625b8f-5e00-5fbe-b313-ba7adb980583""]",government_record,Fortaleza municipal SFORPF01 surveyed site plan,https://urbanismoemeioambiente.fortaleza.ce.gov.br/images/urbanismo-e-meio-ambiente/infocidade/cppd/PROJETO_ARQUITETONICO_FL01-02.pdf,Prefeitura de Fortaleza - SEUMA,fortaleza_cppd_project_plans,all-rights-reserved,Prefeitura de Fortaleza - SEUMA; Scala Data Centers,,2026-07-21T09:27:36Z,039df7d2426a28c602fcdb2bafee8cb9bb2ce72ca3d3d2d55d1d44442c2d8b24
39ca2ddf-3a1e-5d9c-983e-4a30ae537dc7,"[""typed_metric:critical_it_mw""]","[""65e8849e-2ebe-5d58-be63-299cbbcf8d23""]",company_disclosure,Denver DE3 Facility Specification,https://www.coresite.com/hubfs/-website-documents/facility-specifications/sp-CoreSite-Denver-DE3-Spec-Sheet.pdf,CoreSite,coresite_official_website,all-rights-reserved,CoreSite,,2026-07-20T10:42:21Z,3883645e759b91f59887b225c46b5bdfb98f6168bacd0057bbf0780162cff2d1
458f3a8b-8978-5fa6-a7f9-35d2f1801375,"[""geometry""]","[""98e47ac5-8576-53f7-ab71-9f3d683b5ec5""]",government_record,VZD address point AD101873308 for AST Jāņciems,https://geo-dpps.viss.gov.lv/api/DPPSPackage/client/Adresu_tel_418_k6gL2A/3d692785-0c95-44a8-816c-f2f91493c4ce?service=WFS&version=2.0.0&request=GetFeature&typeNames=ad%3AAddress&featureID=AD101873308,Valsts zemes dienests,latvia_vzd_address_register,CC-BY-4.0,"Valsts zemes dienests (State Land Service), CC BY 4.0",,2026-07-21T19:25:00Z,bc27b4271cbfec3e1452f53897e199e0e9d075fd05691fa35e81d431a8e20f98
58cd4851-129d-59c4-9cb0-4f24070a71a9,"[""geometry""]","[""65e8849e-2ebe-5d58-be63-299cbbcf8d23""]",government_record,Denver tax parcel 0214400131000 at 4900 North Race Street,https://services1.arcgis.com/zdB7qR0BtYrg0Xpl/arcgis/rest/services/ODC_PROP_PARCELS_A/FeatureServer/245/query?where=SITUS_ADDRESS_ID%3D23973%20AND%20SCHEDNUM%3D%270214400131000%27&outFields=OBJECTID%2CSCHEDNUM%2CSITUS_ADDRESS_ID%2CSITUS_ADDRESS_LINE1%2CSITUS_CITY%2CSITUS_STATE%2CSITUS_ZIP%2COWNER_NAME%2CPARCELNUM&returnGeometry=true&returnCentroid=true&outSR=4326&f=json,City and County of Denver,denver_open_data_property_parcels,CC-BY-3.0,City and County of Denver,,2026-07-21T06:33:52Z,41387d3d2d09af9e88e494d24f29ccc6897f25b0b077edf5f9011a470de0c7e2
5e1b3dfc-046d-5289-bcce-08208107f1bf,"[""typed_metric:critical_it_mw""]","[""b8399bc6-5c72-5627-a035-4fea208cd287""]",company_disclosure,Edged U.S. | Chicago,https://edged.us/chicago,Edged US,edged_us_location_page,all-rights-reserved,Edged US,,2026-07-20T09:40:57Z,d4110379d78f1108a4d6323c507dac307fafa23c5b4f07a1387793ad5165befe
62b2a499-44a6-59c1-b956-78abbbc1b8d5,"[""physical_status"",""typed_metric:critical_it_mw""]","[""b5625b8f-5e00-5fbe-b313-ba7adb980583""]",company_disclosure,Scala Data Centers Portfolio,https://scaladatacenters.com/en/data-centers-en/,Scala Data Centers,scala_data_center_portfolio_pages,all-rights-reserved,Scala Data Centers,,2026-07-21T07:52:27Z,8a78e94b27e3cc375549845cf680b76eb678b19605de0c1411dbc6aafc84972b
6c2aaeb4-6f26-515c-99d8-8e8a0bd2f65b,"[""operating_model""]","[""65e8849e-2ebe-5d58-be63-299cbbcf8d23""]",company_disclosure,CoreSite Achieves Key Construction Milestone for New DE3 Data Center in Denver,https://www.coresite.com/news/coresite-achieves-key-construction-milestone-for-new-de3-data-center-in-denver,CoreSite,coresite_official_website,all-rights-reserved,CoreSite,2025-10-06T15:00:01Z,2026-07-20T10:42:21Z,0ddd551cfb339fc8391bb7be56d59f14d587bab7221bf1924763415a9947f5e7
