site_id,physical_site_stable_key,name,country,country_iso_a2,latitude,longitude,geometry_json,geometry_type,geometry_source_entity_kinds_json,geometry_derivations_json,geometry_methods_json,geometry_scope_classes_json,geometry_authority_classes_json,geometry_use_scopes_json,geometry_precision_scopes_json,horizontal_uncertainty_metres,horizontal_uncertainty_unknown_reason,geometry_evidence_ids_json,project_count,project_ids_json,project_stable_keys_json,statuses_json,oldest_status_as_of,newest_status_as_of,verification_posture,independent_imagery_verification,imagery_review_outcomes_json
vcc-site-52b1e1c3038357306a39,curated:adaniconnex-pune-data-center-campus,AdaniConneX Pune Data Center Campus,India,IN,18.6467083333,73.8072666667,"{""coordinates"":[73.8072666667,18.6467083333],""type"":""Point""}",Point,"[""project""]","[""direct_geometry""]","[""official_project_report_coordinate_to_point""]","[""official_source_reported_project_reference_point""]","[""official_source""]","[""project_locator""]","[""Official source-reported point used only to locate the PNQ04 project. It is not a project centroid, footprint, parcel, building outline, construction extent, campus boundary, or survey-accuracy claim.""]",,"The report does not identify the coordinate's datum, reference feature, collection method, or horizontal accuracy.","[""9e5f7eb0-994d-534d-8715-b16378b71787""]",1,"[""48eb54d5-dd3f-51a3-aeed-1ddce1949763""]","[""curated:adaniconnex-pune-data-center-campus:pnq04-current-build""]","[""under_construction""]",2026-06-01,2026-06-01,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""not_reviewed_for_core_preview""]"
vcc-site-cc8bbdad8c252d9ba4e2,curated:akashi-astana-data-center-campus,Akashi Astana Data Center Campus,Kazakhstan,KZ,51.2067694444,71.4577083333,"{""coordinates"":[71.4577083333,51.2067694444],""type"":""Point""}",Point,"[""project""]","[""direct_geometry""]","[""authoritative_site_plan""]","[""same_parcel_infrastructure_reference_point""]","[""official_source""]","[""reviewed_site_locator""]","[""Official site-plan point for a substation within the same data-centre parcel; 500 metre stated uncertainty and not a hall footprint.""]",500,,"[""ff1fe928-217c-5369-8ab1-5dce1a637677""]",1,"[""44130f9f-95af-5f19-9fcf-47aabd3a5c8b""]","[""curated:akashi-astana-data-center-campus:phase-1-current-build""]","[""under_construction""]",2026-07-21,2026-07-21,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""not_reviewed_for_core_preview""]"
vcc-site-7e1b680aa925165fe2ef,curated:alto-sp01-granada-data-center-campus,Alto Infrastructure SP01 Granada Data Center Campus,Spain,ES,37.0832838,-3.7520406,"{""coordinates"":[-3.7520406,37.0832838],""type"":""Point""}",Point,"[""project""]","[""direct_geometry""]","[""official_junta_sp01_event_location_link_to_coordinate_point""]","[""official_government_project_event_reference_point""]","[""official_source""]","[""project_locator""]","[""Official project-event locator point used only to locate SP01. The seven-decimal redirect coordinate is preserved as published but is not treated as survey accuracy, parcel geometry, or a project centroid.""]",,"Neither the Junta agenda nor linked location redirect states the reference feature, collection method, or numeric horizontal accuracy.","[""dfffb2f5-ca78-5c98-bef7-2b58e7c98238""]",1,"[""4a934222-f3af-5945-bb46-b98bfaef89b7""]","[""curated:alto-sp01-granada-data-center-campus:phase-1-10mw-critical-it""]","[""under_construction""]",2026-07-09,2026-07-09,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""not_reviewed_for_core_preview""]"
vcc-site-b065c16b51237fbb767f,curated:amazon-salem-township-innovation-campus,Amazon Salem Township Innovation Campus,United States,US,41.0839907,-76.14337485,"{""coordinates"":[[[-76.1428118,41.0830166],[-76.1441814,41.0829829],[-76.1442549,41.0846804],[-76.1440297,41.0846859],[-76.144042,41.0849713],[-76.142925,41.0849985],[-76.1429191,41.0848632],[-76.1425013,41.0848735],[-76.1424948,41.0847228],[-76.1428852,41.0847132],[-76.1428118,41.0830166]]],""type"":""Polygon""}",Polygon,"[""campus""]","[""cross_source_overlay""]","[""openstreetmap_named_addressed_aws_building_polygon_as_campus_locator""]","[""reviewed_openstreetmap_named_addressed_aws_data_centre_building_polygon""]","[""community_mapped""]","[""campus_locator""]","[""Contributor-mapped polygon for one named and addressed Amazon AWS data-centre building, used only to locate the Salem Township innovation campus. It is not an official campus boundary, the complete campus extent, a parcel, the active-buildout footprint or centroid, a construction extent, a current-building count, or a survey-accuracy claim.""]",,OpenStreetMap does not state horizontal positional accuracy; community-mapped geometry is not a cadastral or survey product.,"[""13a65a07-1b3a-58a3-9ca7-b98723686f7c""]",1,"[""c73ac912-e44d-5477-84f5-c5beb4813518""]","[""curated:amazon-salem-township-innovation-campus:active-buildout""]","[""under_construction""]",2026-07-19,2026-07-19,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""tracked_identity_bound_uncertain_unsuperseded_no_construction_claim""]"
vcc-site-fe9285f72381fc346e86,curated:ast-janciems-dispatcher-control-data-center,AST Jāņciems Dispatcher Control and Data Centre,Latvia,LV,56.933100002,24.1814716538,"{""coordinates"":[24.1814716538,56.933100002],""type"":""Point""}",Point,"[""project""]","[""direct_geometry""]","[""authoritative_address_geocode""]","[""facility_address_point""]","[""official_source""]","[""reviewed_site_locator""]","[""Current Latvian State Land Service address-register point, facility-specific, with 20 metre stated uncertainty.""]",20,,"[""458f3a8b-8978-5fa6-a7f9-35d2f1801375""]",1,"[""98e47ac5-8576-53f7-ab71-9f3d683b5ec5""]","[""curated:ast-janciems-dispatcher-control-data-center:fit-out-after-building-completion""]","[""shell""]",2026-06-27,2026-06-27,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""not_reviewed_for_core_preview""]"
vcc-site-17f7ed745e789e79ad69,curated:atnorth-ice02-reykjanesbaer-campus,atNorth ICE02 Reykjanesbær Campus,Iceland,IS,63.96362605,-22.53853195,"{""coordinates"":[[[-22.537237,63.9644636],[-22.5374717,63.964466],[-22.5374623,63.9646422],[-22.5385528,63.9646606],[-22.5385528,63.964719],[-22.5396853,63.9647313],[-22.5397595,63.9637163],[-22.5422813,63.9637795],[-22.542387,63.9626635],[-22.5348303,63.9625208],[-22.5346769,63.9646457],[-22.5371243,63.9646868],[-22.5371446,63.9644637],[-22.537237,63.9644636]]],""type"":""Polygon""}",Polygon,"[""campus""]","[""cross_source_overlay""]","[""openstreetmap_named_campus_fence_boundary""]","[""reviewed_openstreetmap_named_campus_fence""]","[""community_mapped""]","[""campus_locator""]","[""The frozen global-open-v3 Polygon is a reviewed named ICE02 campus fence/site locator inherited by the phase-two project through the explicit project_targets relationship. It is not an official, cadastral, or survey boundary; a complete current campus extent; a building footprint; or a Phase 2 footprint.""]",,OpenStreetMap does not state horizontal positional accuracy; community-mapped geometry is not a cadastral or survey product.,"[""6aa2c3ec-e7cc-59f0-8cd1-4b6e68a51fef""]",1,"[""9be0ab88-c727-5dbc-8a12-e2443878b69f""]","[""curated:atnorth-ice02-reykjanesbaer-campus:phase-2-expansion""]","[""under_construction""]",2026-07-21,2026-07-21,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""not_reviewed_for_core_preview""]"
vcc-site-b25b924e3e107c2cbaf1,curated:atnorth-swe02-stockholm-campus,atNorth SWE02 Stockholm Campus,Sweden,SE,59.42019318407011,17.919052862381037,"{""coordinates"":[17.919052862381037,59.42019318407011],""type"":""Point""}",Point,"[""project""]","[""direct_geometry""]","[""official_stockholm_project_map_epsg3011_point_transformed_to_wgs84""]","[""official_municipal_project_map_reference_point""]","[""official_source""]","[""project_locator""]","[""Official municipal project-page point transformed deterministically from EPSG:3011 to EPSG:4326. Decimal precision and sub-nanometre software roundtrip do not imply source survey accuracy.""]",,"The municipal page publishes projected coordinates but no surveyed reference feature, collection method, or numeric horizontal accuracy.","[""ad0c7dc7-a25c-56d6-a190-734216237c6a""]",1,"[""def7f329-a075-519e-bc4b-8f8126bc1901""]","[""curated:atnorth-swe02-stockholm-campus:current-development""]","[""under_construction""]",2026-06-09,2026-06-09,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""not_reviewed_for_core_preview""]"
vcc-site-6727a9539ece2f19ad23,curated:avaio-taurus-brandon-mississippi-campus,AVAIO Digital Taurus Data Center Campus,United States,US,32.2593,-90.0185,"{""coordinates"":[-90.0185,32.2593],""type"":""Point""}",Point,"[""project""]","[""coordinates_to_point""]","[""authoritative_site_plan""]","[""first_party_campus_reference_point""]","[""official_source""]","[""reviewed_site_locator""]","[""First-party Taurus campus location point derived exactly from the published latitude and longitude; not the 329-acre boundary, a parcel, building footprint, measured centroid, or phase-one outline.""]",,official source does not state positional accuracy,"[""68b10772-f3b4-5152-bffe-23d34c4f8477""]",1,"[""37e33657-b788-57e6-98f2-b78834cdecda""]","[""curated:avaio-taurus-brandon-mississippi-campus:phase-one-current-campus-build""]","[""under_construction""]",2026-07-20,2026-07-20,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""tracked_identity_bound_uncertain_with_unadjudicated_later_stricter_review_no_construction_claim""]"
vcc-site-d6e7826cfaef008088a0,curated:aws-walqa-huesca-data-center,AWS Walqa Data Center Campus,Spain,ES,42.11381388888889,-0.4564361111111111,"{""coordinates"":[-0.4564361111111111,42.11381388888889],""type"":""Point""}",Point,"[""project""]","[""direct_geometry""]","[""official_aragon_piga_project_report_dms_coordinate_to_point""]","[""official_source_reported_project_reference_point""]","[""official_source""]","[""project_locator""]","[""Official project-report point used only to locate the proposed/current Walqa build. The reported 0.01-arc-second display precision is preserved but is not converted into survey accuracy.""]",,"The report prints DMS precision but does not state datum, surveyed reference feature, collection method, or horizontal accuracy.","[""a66352ad-9007-510c-ad30-c88e41cbe37a""]",1,"[""55f4eb88-750d-5aa5-b4cb-bd5b8e746fe6""]","[""curated:aws-walqa-huesca-data-center:current-build""]","[""under_construction""]",2026-06-25,2026-06-25,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""tracked_blind_reject_locally_unsealed_identity_no_construction_claim""]"
vcc-site-0ed3e2f5c48bfda417a3,curated:borealis-blonduos-data-center-campus,Borealis Blönduós Data Center Campus,Iceland,IS,65.64727965,-20.24300365,"{""coordinates"":[[[-20.2424228,65.6471629],[-20.2422258,65.6471134],[-20.242524,65.6469114],[-20.2427217,65.6469611],[-20.2427829,65.6469196],[-20.2419908,65.6467207],[-20.2421109,65.6466394],[-20.2429032,65.6468383],[-20.2430654,65.6467285],[-20.2427158,65.6466407],[-20.2426733,65.6466695],[-20.2426097,65.6466535],[-20.2426522,65.6466247],[-20.242288,65.6465333],[-20.2423853,65.6464674],[-20.2443817,65.6469687],[-20.244241,65.647064],[-20.2430967,65.6467766],[-20.2429937,65.6468464],[-20.2441455,65.6471355],[-20.2439997,65.6472343],[-20.2428477,65.646945],[-20.2427395,65.6470183],[-20.2438877,65.6473066],[-20.2437529,65.647398],[-20.2426044,65.6471096],[-20.2424867,65.6471893],[-20.2436347,65.6474776],[-20.2435067,65.6475643],[-20.2423729,65.6472797],[-20.2422206,65.6473828],[-20.2436965,65.6477534],[-20.2435048,65.6478832],[-20.242037,65.6475147],[-20.2419126,65.6475989],[-20.2433649,65.6479636],[-20.2431754,65.6480919],[-20.2416256,65.6477028],[-20.2424228,65.6471629]]],""type"":""Polygon""}",Polygon,"[""facility""]","[""cross_source_geometry""]","[""openstreetmap_borealis_blonduos_named_building_polygon_as_parent_campus_locator""]","[""reviewed_openstreetmap_borealis_blonduos_named_building_polygon""]","[""community_mapped""]","[""campus_locator""]","[""Contributor-mapped polygon for a named Borealis building at Blönduós, used only to locate the parent campus. It is not the 2026 expansion boundary, a complete campus boundary, an official parcel or planning boundary, or a current construction-progress extent. A first-party map link that resolves only to the Blönduós town/place is rejected as site geometry.""]",,"OpenStreetMap does not state horizontal positional accuracy; community-mapped geometry is not cadastral, planning-authority, or survey geometry.","[""b24c0246-2488-55e4-9022-3609124fd8c8""]",1,"[""adc32529-cea1-5d06-86de-334e63433be6""]","[""curated:borealis-blonduos-data-center-campus:expansion-current-build""]","[""under_construction""]",2026-06-23,2026-06-23,recent_authoritative_physical_observation_plus_reviewed_site_locator,false,"[""not_reviewed_for_core_preview""]"
